name;lb;ub;time
C13-A;236.000;236.000;1.303
C13-B;258.000;258.000;1.848
C14-A;293.000;293.000;0.514
C14-B;318.000;318.000;0.632
C15-A;501.000;501.000;1.484
C15-B;551.000;551.000;2.069
C16-A;11.000;11.000;1.510
C16-B;11.000;11.000;1.492
C17-A;18.000;18.000;1.451
C17-B;18.000;18.000;1.625
C18-A;111.000;111.000;3.602
C18-B;113.000;113.000;3.139
C19-A;146.000;146.000;2.282
C19-B;146.000;146.000;1.560
C20-A;266.000;266.000;2.009
C20-B;267.000;267.000;1.195
D01-A;18.000;18.000;0.162
D01-B;106.000;106.000;0.322
D02-A;50.000;50.000;0.183
D02-B;218.000;218.000;0.209
D03-A;807.000;807.000;0.279
D03-B;1509.000;1509.000;0.483
D04-A;1203.000;1203.000;0.293
D04-B;1881.000;1881.000;0.898
D05-A;2157.000;2157.000;0.385
D05-B;3135.000;3135.000;1.314
D06-A;18.000;18.000;0.191
D06-B;67.000;67.000;0.457
D07-A;50.000;50.000;0.221
D07-B;103.000;103.000;0.229
D08-A;755.000;755.000;0.958
D08-B;1036.000;1036.000;1.136
D09-A;1070.000;1070.000;1.616
D09-B;1420.000;1420.000;2.454
D10-A;1671.000;1671.000;4.118
D10-B;2079.000;2079.000;2.699
D11-A;18.000;18.000;0.475
D11-B;29.000;29.000;0.832
D12-A;42.000;42.000;0.585
D12-B;42.000;42.000;0.642
D13-A;445.000;445.000;4.798
D13-B;486.000;486.000;2.826
D14-A;602.000;602.000;7.137
D14-B;665.000;665.000;3.519
D15-A;1042.000;1042.000;6.752
D15-B;1108.000;1108.000;6.067
D16-A;13.000;13.000;2.580
D16-B;13.000;13.000;3.082
D17-A;23.000;23.000;3.974
D17-B;23.000;23.000;5.090
D18-A;218.000;218.000;6.973
D18-B;223.000;223.000;9.501
D19-A;306.000;306.000;9.555
D19-B;310.000;310.000;4.005
D20-A;536.000;536.000;5.124
D20-B;537.000;537.000;2.680
drosophila001;8273.983;8273.983;13.473
drosophila005;8121.314;8121.314;12.079
drosophila0075;8039.859;8039.859;9.685
HCMV;7371.536;7371.536;1.393
i101M1;109271.503;109271.503;0.783
i101M2;315925.310;315925.310;16.015
i101M3;355625.409;355625.409;28.658
i102M1;104065.801;104065.801;0.774
i102M2;352538.819;352538.819;25.377
i102M3;454365.927;454365.927;56.186
i103M1;139749.407;139749.407;0.966
i103M2;407834.228;407834.228;17.066
i103M3;456125.488;456125.488;34.517
i104M2;89920.835;89920.835;4.747
i104M3;97148.789;97148.789;9.490
i105M1;26717.202;26717.202;0.758
i105M2;100269.619;100269.619;9.712
i105M3;110351.163;110351.163;13.538
i201M2;355467.684;355467.684;15.313
i201M3;628833.614;628833.614;167.915
i201M4;773398.303;773398.303;169.934
i202M2;288946.832;288946.832;14.074
i202M3;419184.159;419184.159;66.780
i202M4;430034.264;430034.264;153.208
i203M2;459894.776;459894.776;13.517
i203M3;643062.020;643062.020;217.453
i203M4;677733.067;677733.067;237.803
i204M2;161700.545;161700.545;8.126
i204M3;245287.203;245287.203;37.220
i204M4;245287.203;245287.203;69.520
i205M2;571031.415;571031.415;13.407
i205M3;672403.143;672403.143;43.417
i205M4;713973.623;713973.623;97.739
i640-001;2932.000;2932.000;0.198
i640-002;2795.000;2795.000;0.253
i640-003;2630.000;2630.000;0.307
i640-004;3356.000;3356.000;0.155
i640-005;3288.000;3288.000;0.140
i640-011;2166.000;2166.000;3.280
i640-012;1999.000;1999.000;1.588
i640-013;2002.000;2002.000;0.813
i640-014;2171.000;2171.000;0.745
i640-015;2295.000;2295.000;0.858
i640-021;1585.000;1585.000;140.966
i640-022;1704.000;1704.000;90.573
i640-023;1614.000;1614.000;141.322
i640-024;1563.000;1563.000;161.185
i640-025;1550.000;1550.000;101.307
i640-031;2400.000;2400.000;0.247
i640-032;2053.000;2053.000;0.207
i640-033;2789.000;2789.000;0.317
i640-034;2757.000;2757.000;0.306
i640-035;2510.000;2510.000;0.478
i640-041;1639.000;1639.000;20.650
i640-042;1621.000;1621.000;10.603
i640-043;1401.000;1401.000;6.048
i640-044;1665.000;1665.000;11.532
i640-045;1569.000;1569.000;8.260
i640-101;8135.000;8135.000;1.103
i640-102;7791.000;7791.000;0.282
i640-103;7854.000;7854.000;0.508
i640-104;6965.000;6965.000;0.311
i640-105;8669.000;8669.000;0.621
i640-111;5323.000;5323.000;8.139
i640-112;5908.000;5908.000;9.149
i640-113;5886.000;5886.000;17.875
i640-114;5630.000;5630.000;4.882
i640-115;6040.000;6040.000;20.023
i640-121;4379.000;4379.000;224.894
i640-122;4707.000;4707.000;275.105
i640-123;4509.000;4509.000;291.610
i640-124;4586.000;4586.000;230.662
i640-125;4556.000;4556.000;482.451
i640-131;6490.000;6490.000;0.450
i640-132;7800.000;7800.000;1.879
i640-133;6808.000;6808.000;1.847
i640-134;6415.000;6415.000;0.255
i640-135;6618.000;6618.000;1.554
i640-141;5171.000;5171.000;410.630
i640-142;4733.000;4733.000;153.418
i640-143;4321.000;4321.000;53.786
i640-144;4562.000;4562.000;283.330
i640-145;4907.000;4907.000;179.882
i640-201;14372.000;14372.000;0.339
i640-202;15059.000;15059.000;0.166
i640-203;13848.000;13848.000;0.346
i640-204;13108.000;13108.000;0.436
i640-205;15308.000;15308.000;1.564
i640-211;11109.000;11109.000;439.182
i640-212;10351.000;10351.000;69.555
i640-213;10388.000;10388.000;93.490
i640-214;10675.000;10675.000;14.823
i640-215;10740.000;10740.000;123.282
i640-221;8400.000;8400.000;1486.744
i640-222;8993.000;8993.000;877.404
i640-223;9210.000;9210.000;774.752
i640-224;8870.000;8870.000;1300.644
i640-225;8386.000;8386.000;878.784
i640-231;14279.000;14279.000;14.719
i640-232;13526.000;13526.000;3.575
i640-233;12948.000;12948.000;3.500
i640-234;13645.000;13645.000;1.383
i640-235;12650.000;12650.000;1.041
i640-241;9693.000;9716.000;3601.520
i640-242;9250.000;9250.000;439.841
i640-243;9315.000;9315.000;1151.619
i640-244;8950.000;8950.000;1966.040
i640-245;9448.000;9448.000;1826.442
i640-301;42701.000;42701.000;0.869
i640-302;42606.000;42606.000;1.177
i640-303;41286.000;41286.000;0.817
i640-304;42050.000;42050.000;0.682
i640-305;42798.000;42798.000;2.563
i640-311;33320.000;33547.000;3600.490
i640-312;32518.000;32790.000;3600.473
i640-313;32401.000;32401.000;3198.795
i640-314;32720.000;32959.000;3600.663
i640-315;32462.000;32666.000;3600.577
i640-321;28699.000;28803.000;3613.410
i640-322;28380.000;28467.000;3613.936
i640-323;28083.000;28157.000;3614.428
i640-324;28684.000;28760.000;3614.304
i640-325;28305.000;28386.000;3613.477
i640-331;39315.000;39315.000;7.544
i640-332;39030.000;39030.000;6.031
i640-333;39775.000;39775.000;29.618
i640-334;39338.000;39338.000;4.233
i640-335;39601.000;39601.000;771.374
i640-341;29505.000;29739.000;3602.600
i640-342;29672.000;29838.000;3602.029
i640-343;29882.000;30056.000;3602.806
i640-344;29763.000;29942.000;3602.467
i640-345;29817.000;30082.000;3602.958
K100;135511.000;135511.000;0.075
K100.1;124108.000;124108.000;0.141
K100.10;133567.000;133567.000;0.100
K100.2;200262.000;200262.000;0.514
K100.3;115953.000;115953.000;0.182
K100.4;87498.000;87498.000;0.073
K100.5;119078.000;119078.000;0.079
K100.6;132886.000;132886.000;0.088
K100.7;172457.000;172457.000;0.161
K100.8;210869.000;210869.000;0.124
K100.9;122917.000;122917.000;0.123
lymphoma;3341.890;3341.890;0.257
metabol_expr_mice_1;11346.927;11346.927;1.867
metabol_expr_mice_2;16250.235;16250.235;1.129
metabol_expr_mice_3;16919.620;16919.620;0.794
bip42nu;226.000;226.000;145.436
bip52nu;222.000;222.000;138.552
bip62nu;214.000;214.000;210.842
bipa2nu;323.000;325.000;554.226
bipe2nu;53.000;53.000;0.229
cc10-2nu;165.000;171.000;1772.186
cc11-2nu;297.000;312.000;1186.913
cc12-2nu;552.000;581.000;822.962
cc3-10nu;59.000;61.000;2495.037
cc3-11nu;75.000;80.000;3600.558
cc3-12nu;89.000;96.000;2377.974
cc3-4nu;10.000;10.000;0.035
cc3-5nu;17.000;17.000;0.039
cc5-3nu;36.000;36.000;0.554
cc6-2nu;15.000;15.000;0.038
cc6-3nu;95.000;95.000;116.937
cc7-3nu;264.000;280.000;1201.652
cc9-2nu;83.000;83.000;16.088
hc10p;58951.000;60594.000;3600.541
hc10p2;58943.000;60531.000;3600.720
hc10u;555.000;562.000;2186.973
hc10u2;377.000;382.000;2970.793
hc11p;116860.000;120997.000;3602.364
hc11p2;116882.000;120998.000;3602.481
hc11u;1105.000;1120.000;2032.803
hc11u2;745.000;761.000;2553.106
hc12p;231947.000;240481.000;3610.485
hc12p2;232139.000;240480.000;3612.447
hc12u;2193.000;2226.000;3603.716
hc12u2;1478.000;1507.000;3603.319
hc6p;3908.000;3908.000;1.478
hc6p2;3923.000;3923.000;4.840
hc6u;36.000;36.000;0.080
hc6u2;20.000;20.000;0.052
hc7p;7721.000;7721.000;588.389
hc7p2;7711.000;7711.000;106.289
hc7u;72.000;72.000;0.175
hc7u2;47.000;47.000;0.140
hc8p;15100.000;15264.000;3600.250
hc8p2;15153.000;15291.000;3600.363
hc8u;143.000;143.000;12.562
hc8u2;97.000;97.000;2.352
hc9p;29740.000;30252.000;3600.223
hc9p2;29869.000;30466.000;3600.236
hc9u;283.000;283.000;2551.321
hc9u2;190.000;190.000;512.996
handbd01;721.018;730.238;3612.791
handbd02;281.772;297.040;3612.429
handbd03;135.071;135.071;554.732
handbd04;1721.298;1820.073;3612.998
handbd05;105.475;105.475;704.627
handbd06;1491.348;1533.590;3656.218
handbd07;77.862;77.862;2941.827
handbd08;1345.290;1371.953;3638.862
handbd09;62.717;62.717;1004.439
handbd10;1125.096;1139.724;3620.403
handbd11;46.773;46.773;719.694
handbd12;320.490;321.207;3642.079
handbd13;12.871;13.224;3614.306
handbd14;4379.104;4379.104;45.480
handbi01;1345.175;1360.201;3614.868
handbi02;518.158;532.617;3635.333
handbi03;243.134;243.134;1246.209
handbi04;3090.616;3226.919;3628.461
handbi05;184.467;184.467;916.310
handbi06;2851.708;2930.642;3624.812
handbi07;150.974;150.974;1265.799
handbi08;2238.918;2271.576;3658.960
handbi09;107.769;107.769;985.799
handbi10;1867.723;1874.645;3641.817
handbi11;68.879;68.953;3618.654
handbi12;138.257;138.257;3378.660
handbi13;4.159;4.268;3614.706
handbi14;7881.769;7881.769;47.734
handsd01;171.637;171.637;77.066
handsd02;157.436;160.346;3603.553
handsd03;31.306;31.306;47.327
handsd04;486.662;494.554;3604.540
handsd05;21.938;21.938;62.290
handsd06;279.903;279.903;948.844
handsd07;11.804;11.804;68.413
handsd08;143.238;143.238;610.266
handsd09;3.792;3.822;3606.685
handsd10;1034.767;1034.767;24.501
handsi01;295.454;295.454;49.081
handsi02;125.429;125.429;2239.578
handsi03;56.149;56.149;57.435
handsi04;722.508;722.508;2863.346
handsi05;35.044;35.044;41.767
handsi06;452.954;452.954;775.482
handsi07;18.410;18.410;56.447
handsi08;229.530;229.530;532.433
handsi09;5.889;5.978;3603.008
handsi10;1803.698;1803.698;482.947
