name;n;m;lb;ub;bbnodes;valid;time
handsi03-r1-d1.00-a0.50;39600;157408;56.272141;56.272141;0;1;1064.259
handsi04-r0-d0.25-a0.10;39600;98380;926.113878;1012.595915;0;1;3600.775
handsi04-r0-d0.25-a0.25;39600;98380;915.212318;1020.036027;0;1;3600.932
handsi04-r0-d0.25-a0.50;39600;98380;899.676598;1000.149890;0;1;3601.069
handsi04-r0-d0.50-a0.10;39600;118056;804.304785;859.843768;0;1;3600.958
handsi04-r0-d0.50-a0.25;39600;118056;795.850080;842.298892;0;1;3600.922
handsi04-r0-d0.50-a0.50;39600;118056;773.643718;829.767845;0;1;3601.014
handsi04-r0-d0.75-a0.10;39600;137732;747.134294;774.900667;0;1;3601.065
handsi04-r0-d0.75-a0.25;39600;137732;738.788509;766.690907;0;1;3600.960
handsi04-r0-d0.75-a0.50;39600;137732;704.914975;749.762828;0;1;3601.213
handsi04-r0-d1.00-a0.10;39600;157408;702.838159;722.187981;0;1;3601.404
handsi04-r0-d1.00-a0.25;39600;157408;698.761581;713.530545;0;1;3601.147
handsi04-r0-d1.00-a0.50;39600;157408;670.775280;695.294890;0;1;3601.169
handsi04-r1-d0.25-a0.10;39600;98380;1264.594596;1368.638526;0;1;3600.817
handsi04-r1-d0.25-a0.25;39600;98380;1309.499053;1368.638526;0;1;3600.653
handsi04-r1-d0.25-a0.50;39600;98380;1298.855332;1368.638526;0;1;3600.721
handsi04-r1-d0.50-a0.10;39600;118056;812.330242;844.624193;0;1;3600.816
handsi04-r1-d0.50-a0.25;39600;118056;795.288656;842.768792;0;1;3600.921
handsi04-r1-d0.50-a0.50;39600;118056;787.202092;828.781314;0;1;3600.816
handsi04-r1-d0.75-a0.10;39600;137732;743.238931;773.975734;0;1;3601.016
handsi04-r1-d0.75-a0.25;39600;137732;744.112839;765.594410;0;1;3600.851
handsi04-r1-d0.75-a0.50;39600;137732;719.107616;750.153960;0;1;3600.887
handsi04-r1-d1.00-a0.10;39600;157408;706.516691;722.050879;0;1;3601.158
handsi04-r1-d1.00-a0.25;39600;157408;695.581916;715.619290;0;1;3601.136
handsi04-r1-d1.00-a0.50;39600;157408;671.249600;693.297991;0;1;3600.976
handsi05-r0-d0.25-a0.10;39600;98380;35.042991;35.042991;0;1;275.146
handsi05-r0-d0.25-a0.25;39600;98380;35.042216;35.042216;0;1;251.441
handsi05-r0-d0.25-a0.50;39600;98380;35.040927;35.040927;0;1;369.033
handsi05-r0-d0.50-a0.10;39600;118056;35.042991;35.042991;0;1;391.089
handsi05-r0-d0.50-a0.25;39600;118056;35.042216;35.042216;0;1;436.778
handsi05-r0-d0.50-a0.50;39600;118056;35.040927;35.040927;0;1;597.549
handsi05-r0-d0.75-a0.10;39600;137732;35.042711;35.042711;0;1;545.949
handsi05-r0-d0.75-a0.25;39600;137732;35.041518;35.041518;0;1;477.757
handsi05-r0-d0.75-a0.50;39600;137732;35.039530;35.039530;0;1;774.797
handsi05-r0-d1.00-a0.10;39600;157408;35.042711;35.042711;0;1;664.303
handsi05-r0-d1.00-a0.25;39600;157408;35.041518;35.041518;0;1;661.678
handsi05-r0-d1.00-a0.50;39600;157408;35.031922;35.031922;0;1;1005.460
handsi05-r1-d0.25-a0.10;39600;98380;35.084067;35.084067;0;1;289.990
handsi05-r1-d0.25-a0.25;39600;98380;35.084067;35.084067;0;1;272.689
handsi05-r1-d0.25-a0.50;39600;98380;35.084067;35.084067;0;1;323.753
handsi05-r1-d0.50-a0.10;39600;118056;35.083828;35.083828;0;1;514.504
handsi05-r1-d0.50-a0.25;39600;118056;35.083828;35.083828;0;1;420.005
handsi05-r1-d0.50-a0.50;39600;118056;35.083828;35.083828;0;1;483.175
handsi05-r1-d0.75-a0.10;39600;137732;35.082973;35.082973;0;1;622.953
handsi05-r1-d0.75-a0.25;39600;137732;35.082973;35.082973;0;1;605.033
handsi05-r1-d0.75-a0.50;39600;137732;35.082973;35.082973;0;1;587.281
handsi05-r1-d1.00-a0.10;39600;157408;35.083264;35.083264;0;1;556.569
handsi05-r1-d1.00-a0.25;39600;157408;35.083264;35.083264;0;1;654.793
handsi05-r1-d1.00-a0.50;39600;157408;35.083264;35.083264;0;1;1149.171
handsi06-r0-d0.25-a0.10;39600;98380;631.842170;682.931275;0;1;3600.796
handsi06-r0-d0.25-a0.25;39600;98380;626.967522;681.028458;0;1;3603.912
handsi06-r0-d0.25-a0.50;39600;98380;610.791127;670.314359;0;1;3785.803
handsi06-r0-d0.50-a0.10;39600;118056;519.002928;537.087641;0;1;3819.967
handsi06-r0-d0.50-a0.25;39600;118056;509.578894;534.792252;0;1;3601.177
handsi06-r0-d0.50-a0.50;39600;118056;497.293070;523.277012;0;1;3600.882
handsi06-r0-d0.75-a0.10;39600;137732;475.315334;478.717685;0;1;3703.978
handsi06-r0-d0.75-a0.25;39600;137732;467.346214;475.293786;0;1;3601.262
handsi06-r0-d0.75-a0.50;39600;137732;452.116369;459.352884;0;1;3794.736
handsi06-r0-d1.00-a0.10;39600;157408;447.699727;447.699727;0;1;2934.737
handsi06-r0-d1.00-a0.25;39600;157408;439.167171;439.167171;0;1;2692.589
handsi06-r0-d1.00-a0.50;39600;157408;420.682905;421.431287;0;1;3601.193
handsi06-r1-d0.25-a0.10;39600;98380;647.899885;679.251418;0;1;3602.792
handsi06-r1-d0.25-a0.25;39600;98380;629.546391;682.264858;0;1;3600.872
handsi06-r1-d0.25-a0.50;39600;98380;624.806807;664.814686;0;1;3742.842
handsi06-r1-d0.50-a0.10;39600;118056;521.410699;529.331982;0;1;3600.932
handsi06-r1-d0.50-a0.25;39600;118056;511.240756;527.348224;0;1;3600.931
handsi06-r1-d0.50-a0.50;39600;118056;503.620349;511.633162;0;1;3700.309
handsi06-r1-d0.75-a0.10;39600;137732;478.253405;480.416881;0;1;3601.033
handsi06-r1-d0.75-a0.25;39600;137732;472.769646;473.707188;0;1;3600.812
handsi06-r1-d0.75-a0.50;39600;137732;453.735337;462.321429;0;1;3600.997
handsi06-r1-d1.00-a0.10;39600;157408;448.294266;448.294266;0;1;1589.345
handsi06-r1-d1.00-a0.25;39600;157408;440.647349;440.647349;0;1;2781.695
handsi06-r1-d1.00-a0.50;39600;157408;421.816420;424.556856;0;1;3600.957
handsi07-r0-d0.25-a0.10;39600;98380;18.413535;18.413535;0;1;433.495
handsi07-r0-d0.25-a0.25;39600;98380;18.413994;18.413994;0;1;444.124
handsi07-r0-d0.25-a0.50;39600;98380;18.414761;18.414761;0;1;396.001
handsi07-r0-d0.50-a0.10;39600;118056;18.413535;18.413535;0;1;549.217
handsi07-r0-d0.50-a0.25;39600;118056;18.413994;18.413994;0;1;658.929
handsi07-r0-d0.50-a0.50;39600;118056;18.414761;18.414761;0;1;690.927
handsi07-r0-d0.75-a0.10;39600;137732;18.413203;18.413203;0;1;786.086
handsi07-r0-d0.75-a0.25;39600;137732;18.413164;18.413164;0;1;776.028
handsi07-r0-d0.75-a0.50;39600;137732;18.413101;18.413101;0;1;933.559
handsi07-r0-d1.00-a0.10;39600;157408;18.410757;18.410757;0;1;879.915
handsi07-r0-d1.00-a0.25;39600;157408;18.411688;18.411688;0;1;1150.844
handsi07-r0-d1.00-a0.50;39600;157408;18.413101;18.413101;0;1;1675.361
handsi07-r1-d0.25-a0.10;39600;98380;18.446599;18.446599;0;1;359.468
handsi07-r1-d0.25-a0.25;39600;98380;18.446599;18.446599;0;1;492.358
handsi07-r1-d0.25-a0.50;39600;98380;18.446599;18.446599;0;1;454.513
handsi07-r1-d0.50-a0.10;39600;118056;18.447154;18.447154;0;1;663.418
handsi07-r1-d0.50-a0.25;39600;118056;18.447154;18.447154;0;1;598.566
handsi07-r1-d0.50-a0.50;39600;118056;18.447154;18.447154;0;1;708.499
handsi07-r1-d0.75-a0.10;39600;137732;18.446512;18.446512;0;1;682.185
handsi07-r1-d0.75-a0.25;39600;137732;18.446512;18.446512;0;1;849.975
handsi07-r1-d0.75-a0.50;39600;137732;18.446512;18.446512;0;1;1087.679
handsi07-r1-d1.00-a0.10;39600;157408;18.446856;18.446856;0;1;900.480
handsi07-r1-d1.00-a0.25;39600;157408;18.446856;18.446856;0;1;925.482
handsi07-r1-d1.00-a0.50;39600;157408;18.446856;18.446856;0;1;1405.806
handsi08-r0-d0.25-a0.10;39600;98380;362.680773;384.468806;0;1;3772.817
handsi08-r0-d0.25-a0.25;39600;98380;356.240286;388.936991;0;1;3600.783
handsi08-r0-d0.25-a0.50;39600;98380;350.499616;379.090128;0;1;3616.124
handsi08-r0-d0.50-a0.10;39600;118056;270.117382;278.460939;0;1;3600.852
handsi08-r0-d0.50-a0.25;39600;118056;265.650394;273.932910;0;1;3601.129
handsi08-r0-d0.50-a0.50;39600;118056;257.354185;270.481103;0;1;3648.296
handsi08-r0-d0.75-a0.10;39600;137732;241.266469;243.160332;0;1;3807.629
handsi08-r0-d0.75-a0.25;39600;137732;236.945294;238.918518;0;1;3601.106
handsi08-r0-d0.75-a0.50;39600;137732;227.503567;230.276649;0;1;3601.627
handsi08-r0-d1.00-a0.10;39600;157408;225.866964;225.866964;0;1;1009.217
handsi08-r0-d1.00-a0.25;39600;157408;220.287371;220.287371;0;1;1226.666
handsi08-r0-d1.00-a0.50;39600;157408;209.372848;209.372848;0;1;2796.198
handsi08-r1-d0.25-a0.10;39600;98380;369.010820;384.577955;0;1;3600.760
handsi08-r1-d0.25-a0.25;39600;98380;361.834699;386.022489;0;1;3600.776
handsi08-r1-d0.25-a0.50;39600;98380;358.080877;379.264677;0;1;3657.365
handsi08-r1-d0.50-a0.10;39600;118056;273.006035;279.401295;0;1;3600.743
handsi08-r1-d0.50-a0.25;39600;118056;269.195511;271.899420;0;1;3600.720
handsi08-r1-d0.50-a0.50;39600;118056;260.310815;267.457340;0;1;3600.755
handsi08-r1-d0.75-a0.10;39600;137732;243.968657;244.065801;0;1;3600.866
handsi08-r1-d0.75-a0.25;39600;137732;239.375643;239.859182;0;1;3600.802
handsi08-r1-d0.75-a0.50;39600;137732;229.562500;231.762538;0;1;3600.804
handsi08-r1-d1.00-a0.10;39600;157408;226.714930;226.714930;3;1;1267.288
handsi08-r1-d1.00-a0.25;39600;157408;221.552500;221.552500;0;1;1762.512
handsi08-r1-d1.00-a0.50;39600;157408;210.818769;211.673772;0;1;3650.801
handsi09-r0-d0.25-a0.10;39600;98380;5.913102;5.972012;0;1;3601.092
handsi09-r0-d0.25-a0.25;39600;98380;5.916918;5.979951;0;1;3601.085
handsi09-r0-d0.25-a0.50;39600;98380;5.928571;5.971746;0;1;3600.935
handsi09-r0-d0.50-a0.10;39600;118056;5.854281;5.978588;0;1;3600.914
handsi09-r0-d0.50-a0.25;39600;118056;5.856197;5.985943;0;1;3601.004
handsi09-r0-d0.50-a0.50;39600;118056;5.834280;5.976954;0;1;3601.219
handsi09-r0-d0.75-a0.10;39600;137732;5.829205;5.963124;0;1;3601.088
handsi09-r0-d0.75-a0.25;39600;137732;5.816913;5.967433;0;1;3601.304
handsi09-r0-d0.75-a0.50;39600;137732;5.809352;5.964016;0;1;3601.384
handsi09-r0-d1.00-a0.10;39600;157408;5.806509;5.969240;0;1;3601.089
handsi09-r0-d1.00-a0.25;39600;157408;5.793491;5.964618;0;1;3601.422
handsi09-r0-d1.00-a0.50;39600;157408;5.798645;5.972940;0;1;3623.587
handsi09-r1-d0.25-a0.10;39600;98380;5.924544;6.008504;0;1;3600.827
handsi09-r1-d0.25-a0.25;39600;98380;5.952697;6.008698;0;1;3600.663
handsi09-r1-d0.25-a0.50;39600;98380;5.948844;6.008698;0;1;3602.710
handsi09-r1-d0.50-a0.10;39600;118056;5.887078;5.986243;0;1;3602.152
handsi09-r1-d0.50-a0.25;39600;118056;5.908968;5.985059;0;1;3603.937
handsi09-r1-d0.50-a0.50;39600;118056;5.863234;5.986349;0;1;3607.200
handsi09-r1-d0.75-a0.10;39600;137732;5.839674;6.008427;0;1;3601.024
handsi09-r1-d0.75-a0.25;39600;137732;5.884742;6.008427;0;1;3600.864
handsi09-r1-d0.75-a0.50;39600;137732;5.805507;6.008427;0;1;3601.036
handsi09-r1-d1.00-a0.10;39600;157408;5.839746;5.983513;0;1;3600.939
handsi09-r1-d1.00-a0.25;39600;157408;5.819325;5.984559;0;1;3601.141
handsi09-r1-d1.00-a0.50;39600;157408;5.805635;5.983745;0;1;3601.016
handsi10-r0-d0.25-a0.10;39600;98380;1833.704893;1833.704893;0;1;673.000
handsi10-r0-d0.25-a0.25;39600;98380;1831.815894;1831.815894;0;1;502.169
handsi10-r0-d0.25-a0.50;39600;98380;1827.485101;1827.485101;2;1;615.753
handsi10-r0-d0.50-a0.10;39600;118056;1832.794372;1832.794372;0;1;747.829
handsi10-r0-d0.50-a0.25;39600;118056;1829.621982;1829.621982;0;1;808.746
handsi10-r0-d0.50-a0.50;39600;118056;1814.629550;1829.812796;0;1;3601.070
handsi10-r0-d0.75-a0.10;39600;137732;1829.187694;1829.187694;0;1;1593.087
handsi10-r0-d0.75-a0.25;39600;137732;1815.702273;1825.186496;0;1;3601.026
handsi10-r0-d0.75-a0.50;39600;137732;1733.945629;1780.913938;0;1;3601.023
handsi10-r0-d1.00-a0.10;39600;157408;1771.040649;1771.040649;0;1;1176.746
