name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
i640-243;i640;1;0;640;81792;50;41;0;640;81792;41;41;0;0.618;9236.000000;9387.000000;1.608608;41;8;1;638.000;80367.000;5.000;5.000;36.000;2.309;2686;9315.000000;9315.000000;0.000000;887;123;61;414;57;24069;5154;1502316;2.408;0.010;151.856;153.495;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-244;i640;1;0;640;81792;50;38;0;640;81792;38;38;0;0.621;8843.000000;9064.000000;2.438217;38;7;1;640.000;81311.000;1.000;1.000;37.000;2.354;8338;8950.000000;8950.000000;0.000000;3082;639;149;1358;113;80974;6512;5797726;2.423;0.007;433.476;442.399;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-245;i640;1;0;640;81792;50;41;0;640;81792;41;41;0;0.623;9361.000000;9550.000000;1.979058;41;8;1;639.000;80876.000;4.000;4.000;37.000;2.271;21403;9448.000000;9448.000000;0.000000;5031;3947;272;1855;494;153261;9541;11834200;2.480;0.020;902.644;903.356;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-301;i640;1;0;640;1920;159;140;0;640;1920;140;140;0;0.000;42539.000000;42706.000000;0.391046;140;38;1;343.000;1134.000;27.000;27.000;102.000;0.042;201;42701.000000;42701.000000;0.000000;2367;2403;565;456;134;111;3342;9610;0.108;0.032;0.805;0.963;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-302;i640;1;0;640;1920;160;140;0;640;1920;140;140;0;0.000;42511.000000;42780.000000;0.628799;140;38;1;343.000;1263.000;42.000;42.000;81.000;0.025;229;42606.000000;42606.000000;0.000000;2490;1506;837;477;166;175;3437;4071;0.094;0.015;0.468;0.472;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-303;i640;1;0;640;1920;160;136;0;640;1920;136;136;0;0.000;41247.000000;41301.000000;0.130747;136;34;1;221.000;570.000;10.000;10.000;108.000;0.027;15;41286.000000;41286.000000;0.000000;1324;987;164;332;131;47;3608;1657;0.107;0.008;0.182;0.184;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-304;i640;1;0;640;1920;159;129;0;640;1920;129;129;0;0.000;42032.000000;42175.000000;0.339063;129;36;1;307.000;943.000;26.000;26.000;93.000;0.015;84;42050.000000;42050.000000;0.000000;1522;1258;223;242;167;23;3833;4692;0.072;0.006;0.312;0.326;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-305;i640;1;0;640;1920;160;137;0;639;1918;136;136;0;0.001;42697.000000;42808.000000;0.259297;136;36;1;322.000;1087.000;15.000;14.000;109.000;0.029;48;42798.000000;42798.000000;0.000000;2167;1447;492;367;128;43;3305;3617;0.106;0.097;0.313;0.364;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-311;i640;1;0;640;8270;160;143;0;640;8270;143;143;0;0.008;32625.000000;33779.000000;3.416324;143;28;2;631.500;7436.500;81.000;81.000;61.500;0.370;114403;32625.000000;33779.000000;3.416324;89586;570151;3657;712;214;98631;26371;67894342;0.338;0.075;0.433;3600.055;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-312;i640;1;0;640;8270;160;133;0;640;8270;133;133;0;0.008;31904.000000;33020.000000;3.379770;133;27;2;571.000;6051.000;70.000;70.000;62.500;0.299;125946;31904.000000;33020.000000;3.379770;151447;773543;2764;729;266;122937;23936;64761183;0.294;0.154;0.339;3600.026;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-313;i640;1;0;640;8270;159;137;0;640;8270;137;137;0;0.007;31711.000000;32597.000000;2.718042;137;28;1;640.000;8270.000;120.000;120.000;17.000;0.185;120960;31711.000000;32597.000000;2.718042;136903;669390;2640;1998;988;127024;27779;65727897;0.334;0.012;0.386;3600.007;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-314;i640;1;0;640;8270;160;133;0;640;8270;133;133;0;0.007;32133.000000;33123.000000;2.988860;133;26;1;640.000;8270.000;124.000;124.000;9.000;0.246;136424;32133.000000;33123.000000;2.988860;127305;680714;1309;831;449;67902;14900;61316053;0.293;0.073;0.396;3600.022;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-315;i640;1;0;640;8270;159;133;0;640;8270;133;133;0;0.008;31765.000000;32764.000000;3.049078;133;27;1;640.000;8270.000;128.000;128.000;5.000;0.160;120013;31765.000000;32764.000000;3.049078;104293;590461;2076;816;1228;106359;11944;62432685;0.289;0.087;0.423;3600.017;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-321;i640;1;0;640;408960;160;140;0;640;408960;140;140;0;1.271;28694.000000;28995.000000;1.038110;140;23;1;640.000;408605.000;35.000;35.000;105.000;13.664;20326;28694.000000;28919.000000;0.778035;42531;422;844;38308;1184;3885379;8113;19702168;21.962;0.432;2330.683;3605.593;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-322;i640;1;0;640;408960;160;133;0;640;408960;133;133;0;1.316;28339.000000;28646.000000;1.071703;133;23;1;640.000;408598.000;31.000;31.000;102.000;15.631;30901;28339.000000;28621.000000;0.985291;69381;697;1447;48293;2169;5894900;6484;28874859;15.987;0.090;3003.936;3600.831;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-323;i640;1;0;640;408960;160;136;0;640;408960;136;136;0;1.358;28088.000000;28384.000000;1.042841;136;24;1;640.000;408267.000;46.000;46.000;90.000;21.415;27320;28088.000000;28334.000000;0.868215;47964;926;1182;38021;1771;4896515;8185;23292053;4.166;0.148;3453.352;3601.973;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
