name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
drosophila001;actmodpc;0;0;5226;186788;5225;71;0;5218;185892;63;63;0;0.161;8273.982630;8273.982630;0.000000;63;58;0;0.000;0.000;0.000;0.000;0.000;1.654;0;8273.982630;8273.982630;0.000000;971;1987;18;64;6;95056;49887;3661;3.825;0.010;1.531;5.870;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila005;actmodpc;0;0;5226;186788;5225;194;0;5167;181208;135;135;0;0.158;8121.233690;8121.617920;0.004731;135;96;1;156.000;359.000;18.000;18.000;54.000;0.401;4;8121.313578;8121.313578;0.000000;1631;2191;224;334;44;40973;47531;10951;3.357;0.104;4.271;4.277;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
drosophila0075;actmodpc;0;0;5226;186788;5225;250;0;5133;177988;157;157;0;0.132;8039.859460;8039.859460;0.000000;157;97;0;0.000;0.000;0.000;0.000;0.000;0.390;0;8039.859460;8039.859460;0.000000;1345;2026;178;270;40;32217;47018;4564;3.639;0.002;4.347;4.393;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd01;HAND_BIG_DIMACS;0;0;169800;677102;168211;1795;0;168549;673016;544;544;0;0.256;728.963591;728.963591;0.000000;544;497;0;0.000;0.000;0.000;0.000;0.000;22.039;0;728.963591;728.963591;0.000000;326;414102;1253;103;90;2072;1428953;167947;74.694;0.005;7.203;98.063;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd02;HAND_BIG_DIMACS;0;0;169800;677102;8877;7195;0;163358;655432;753;753;0;0.601;296.419755;296.517514;0.032969;753;1;1;20042.000;63956.000;287.000;287.000;465.000;4.968;73;296.496486;296.496486;0.000000;42707;315029;8914;12205;8350;60329;1467170;258395;29.670;3.645;52.320;59.673;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd03;HAND_BIG_DIMACS;0;0;169800;677102;163401;2145;0;169258;675696;1603;1603;0;0.197;135.070605;135.070605;0.000000;1603;1593;0;0.000;0.000;0.000;0.000;0.000;6.737;0;135.070605;135.070605;0.000000;85;33068;552;9;11;1270;1822025;167597;6.138;0.005;1.587;14.113;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd04;HAND_BIG_DIMACS;0;0;169800;677102;16966;5298;0;165818;663594;1316;1316;0;0.409;1813.818341;1814.095899;0.015300;1316;16;1;8854.000;24107.000;392.000;392.000;306.000;54.816;280;1813.959161;1813.959161;0.000000;14778;569784;6924;6953;4750;8713;1032627;184242;678.144;1.556;755.042;756.458;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd05;HAND_BIG_DIMACS;0;0;169800;677102;165802;2324;0;169260;675738;1784;1784;0;0.198;105.474688;105.474688;0.000000;1784;1772;0;0.000;0.000;0.000;0.000;0.000;5.697;0;105.474688;105.474688;0.000000;149;48728;560;11;6;244;1803991;0;5.576;0.005;1.556;12.542;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd06;HAND_BIG_DIMACS;0;0;169800;677102;16431;6474;0;164514;658736;1188;1188;0;0.513;1528.593281;1528.934099;0.022291;1188;5;1;13213.000;41829.000;434.000;434.000;255.000;15.430;205;1528.765436;1528.765436;0.000000;22921;392518;8269;9583;6144;23344;1296188;209168;257.561;2.225;299.646;301.140;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd07;HAND_BIG_DIMACS;0;0;169800;677102;165126;2840;0;169156;675490;2196;2196;0;0.208;77.861959;77.861959;0.000000;2196;2179;0;0.000;0.000;0.000;0.000;0.000;13.022;0;77.861959;77.861959;0.000000;160;86343;664;16;11;2304;1760866;166904;7.168;0.053;2.509;21.504;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd08;HAND_BIG_DIMACS;0;0;169800;677102;17464;7110;0;163599;655076;909;909;0;0.586;1367.974886;1368.188399;0.015606;909;2;1;7349.000;18493.000;251.000;251.000;223.000;3.931;16;1368.166769;1368.166769;0.000000;14510;170825;7386;3398;2348;3748;1560395;181772;43.263;5.008;55.020;56.154;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd09;HAND_BIG_DIMACS;0;0;169800;677102;164501;2608;0;169242;675688;2050;2050;0;0.199;62.717160;62.717160;0.000000;2050;2031;0;0.000;0.000;0.000;0.000;0.000;11.207;0;62.717160;62.717160;0.000000;96;69237;558;8;9;1897;1777654;167142;6.655;0.004;2.434;19.119;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd10;HAND_BIG_DIMACS;0;0;169800;677102;17262;7912;0;162439;650384;551;551;0;0.668;1137.429734;1137.429734;0.000000;551;1;0;0.000;0.000;0.000;0.000;0.000;2.660;0;1137.429734;1137.429734;0.000000;726;71824;7432;857;490;1104;1681559;173433;11.757;1.731;6.110;18.267;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd11;HAND_BIG_DIMACS;0;0;169800;677102;163788;2310;0;169361;676026;1871;1871;0;0.158;46.772533;46.772533;0.000000;1871;1860;0;0.000;0.000;0.000;0.000;0.000;5.510;0;46.772533;46.772533;0.000000;96;53048;449;6;4;510;1795679;0;5.412;0.005;1.439;12.084;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
