name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
a2000RandGraph.2;random;0;0;2000;32124;2000;966;0;1110;9739;76;76;0;0.089;1483.761285;1483.836804;0.005089;76;1;1;134.000;198.000;7.000;7.000;56.000;0.025;3;1483.836804;1483.836804;0.000000;648;375;988;149;2;2805;9560;1226;0.104;0.029;0.123;0.285;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a2000RandGraph.3;random;0;0;2000;31502;2000;1294;0;747;4134;41;41;0;0.068;1669.345706;1669.345706;0.000000;41;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1669.345706;1669.345706;0.000000;383;407;1300;41;3;1728;6975;0;0.060;0.038;0.110;0.210;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a3000RandGraph.1.2;random;0;0;3000;48090;3000;489;0;2783;46812;272;272;0;0.036;1780.994828;1781.248336;0.014232;272;244;1;762.000;1963.000;188.000;188.000;29.000;0.165;38;1781.194420;1781.194420;0.000000;1976;1161;635;816;34;1428;22941;7831;0.555;0.029;0.928;0.944;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a3000RandGraph.1.5;random;0;0;3000;47704;3000;994;0;2218;29378;212;212;0;0.108;2028.552759;2028.619951;0.003312;212;35;1;335.000;593.000;45.000;45.000;112.000;0.059;2;2028.619951;2028.619951;0.000000;558;619;920;765;35;2810;16682;3177;0.551;0.058;0.290;0.830;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a3000RandGraph.2;random;0;0;3000;48130;3000;1515;0;1599;14428;114;114;0;0.144;2282.917494;2282.917494;0.000000;114;1;0;0.000;0.000;0.000;0.000;0.000;0.001;0;2282.917494;2282.917494;0.000000;806;619;1578;145;5;2947;13670;0;0.176;0.038;0.192;0.409;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a3000RandGraph.3;random;0;0;3000;48052;3000;1992;0;1074;6068;66;66;0;0.144;2537.202752;2537.202752;0.000000;66;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;2537.202752;2537.202752;0.000000;493;468;2008;98;3;2308;9580;0;0.099;0.128;0.190;0.422;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a4000RandGraph.1.2;random;0;0;4000;64174;4000;668;0;3708;62513;376;376;0;0.047;2396.754173;2396.951942;0.008251;376;338;1;918.000;2327.000;253.000;253.000;46.000;0.221;33;2396.919869;2396.919869;0.000000;1740;1412;647;1175;84;1794;30554;9124;1.216;0.012;1.667;1.675;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a4000RandGraph.1.5;random;0;0;4000;64238;4000;1377;0;2897;37741;274;274;0;0.201;2735.120239;2735.182741;0.002285;274;33;1;456.000;781.000;53.000;53.000;157.000;0.084;3;2735.178895;2735.178895;0.000000;1069;1168;1269;972;19;3582;21862;4139;1.570;0.051;1.985;2.010;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a4000RandGraph.2;random;0;0;4000;63760;4000;2039;0;2099;18448;138;138;0;0.263;3072.261471;3072.261471;0.000000;138;1;0;0.000;0.000;0.000;0.000;0.000;0.001;0;3072.261471;3072.261471;0.000000;939;442;2056;95;1;3571;18901;0;0.169;0.081;0.328;0.581;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a4000RandGraph.3;random;0;0;4000;64050;4000;2691;0;1381;7646;72;72;0;0.248;3406.618730;3406.618730;0.000000;72;1;0;0.000;0.000;0.000;0.000;0.000;0.001;0;3406.618730;3406.618730;0.000000;814;455;2741;51;1;2638;12755;0;0.144;0.224;0.307;0.682;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
